mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.11173645655314128,0.013788201665958854,0.0006682078043619791,0.0009449885394122588,0.01,128,0.75,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.75}",0.7447052844024804,0.7219883726542282,0.7306328525906725,0.7324421698824604,0.009361970648719981,63
0.12392814954121907,0.0042163036190884014,0.0010020732879638672,0.0008174118542953105,0.01,128,0.8,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.8}",0.7436542029803781,0.7199388214588172,0.7315516258280264,0.7317148834224071,0.009682452167362385,65
0.2512602011362712,0.14092318061619458,0.0030898253122965493,0.0028766422706463647,0.01,128,0.85,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.85}",0.7436407261330626,0.7211508709667507,0.7308397536551277,0.7318771169183137,0.009210699874069585,64
0.18947895367940268,0.05751239817247348,0.0013756752014160156,0.000974431462476419,0.01,128,0.9,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.9}",0.7416180149500189,0.7189822868409104,0.7293707196029905,0.72999034046464,0.009251378069113624,66
0.24411853154500326,0.008270635987091114,0.0038235982259114585,0.0054073844681496895,0.01,256,0.6,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.6}",0.8378924034926271,0.8175067658644374,0.8317088410752933,0.8290360034774525,0.00853430727496532,43
0.24640544255574545,0.03148169721831408,0.0070828596750895185,0.00864613927066712,0.01,256,0.7,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.7}",0.8366049024636507,0.8171580060125594,0.8323793413325428,0.8287140832695843,0.008351488206538547,44
0.24526206652323404,0.004989197774046442,0.0016090869903564453,0.0011549420726944231,0.01,256,0.75,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.75}",0.8375612333990019,0.8158827075790246,0.8315733538662581,0.8283390982814282,0.009140930927167038,45
0.2578582763671875,0.02504083467553236,0.006821950276692708,0.005742582800316352,0.01,256,0.8,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.8}",0.8352021266122996,0.8152281988107282,0.8320545880281823,0.8274949711504034,0.008768581318536939,47
0.28046361605326336,0.005823098080924814,0.0014995733896891277,0.0010790231080778981,0.01,256,0.85,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.85}",0.8361660037958215,0.816038579113264,0.8306966983223101,0.8276337604104652,0.008497627024719637,46
0.26483798027038574,0.006529555277660585,0.000713507334391276,0.0010090517491488176,0.01,256,0.9,"{'learning_rate': 0.01, 'n_estimators': 256, 'subsample': 0.9}",0.8345540057119286,0.8159834434613009,0.82924867834703,0.8265953758400865,0.007810098429645387,48
0.00748904546101888,0.0008885835032518716,0.0015380382537841797,0.0006738626042440861,0.05,8,0.6,"{'learning_rate': 0.05, 'n_estimators': 8, 'subsample': 0.6}",0.41517456690311016,0.4085799780481473,0.4083195714810718,0.4106913721441097,0.0031718794985928726,86
0.012331326802571615,0.006240386979783895,0.0005464553833007812,0.0007728046142957529,0.05,8,0.7,"{'learning_rate': 0.05, 'n_estimators': 8, 'subsample': 0.7}",0.4215845161473887,0.39590328335026004,0.4040187817874107,0.40716886042835315,0.010718323129985408,88
0.007699330647786458,0.000839250135736506,0.0010377566019694011,3.0028333910717867e-05,0.05,8,0.75,"{'learning_rate': 0.05, 'n_estimators': 8, 'subsample': 0.75}",0.42422589562435764,0.40474281648900967,0.41212658468217767,0.4136984322651817,0.008031215008399184,85
0.007980426152547201,0.0002967587880328775,0.0014081796010335286,0.0004403217584731428,0.05,8,0.8,"{'learning_rate': 0.05, 'n_estimators': 8, 'subsample': 0.8}",0.41918241098884046,0.39491463791579773,0.40321372745709394,0.40577025878724404,0.010070852059705235,89
0.008034785588582357,0.0003570218956985617,0.0011605421702067058,8.483242918895726e-05,0.05,8,0.85,"{'learning_rate': 0.05, 'n_estimators': 8, 'subsample': 0.85}",0.41292146531700913,0.38845437946733485,0.407013938842683,0.40279659454234235,0.010424300686522326,90
0.008340994517008463,0.0011653181215768313,0.001058340072631836,3.932726326579868e-05,0.05,8,0.9,"{'learning_rate': 0.05, 'n_estimators': 8, 'subsample': 0.9}",0.421850321609734,0.4012641154743658,0.4079301358113636,0.41034819096515446,0.008576448907990178,87
0.015318632125854492,0.00380334969884802,0.0006667772928873698,0.0004714930332803695,0.05,16,0.6,"{'learning_rate': 0.05, 'n_estimators': 16, 'subsample': 0.6}",0.6320801956519181,0.6114493061460794,0.615692229438608,0.6197405770788685,0.008895700812296285,71
0.01540048917134603,0.0019529343638406782,0.0007295608520507812,0.0005159224171791084,0.05,16,0.7,"{'learning_rate': 0.05, 'n_estimators': 16, 'subsample': 0.7}",0.635325929028012,0.6097526866687834,0.6115083114141227,0.6188623090369726,0.011663579838357927,74
0.013602256774902344,0.007428381586609073,0.000667413075764974,0.0009438646234519682,0.05,16,0.75,"{'learning_rate': 0.05, 'n_estimators': 16, 'subsample': 0.75}",0.626449839259883,0.6075498520083864,0.6137202620947688,0.6159066511210127,0.00786924825961764,76
0.015955289204915363,0.0001490590126092943,0.0,0.0,0.05,16,0.8,"{'learning_rate': 0.05, 'n_estimators': 16, 'subsample': 0.8}",0.6283944858968569,0.6031679467143656,0.6167939317284215,0.6161187881132146,0.010309750529064157,75
